State,FIPS,Adult obesity
AK,2016,0.3
AK,2016,0.329
AK,2020,0.257
AK,2020,0.268
AK,2050,0.315
AK,2050,0.324
AK,2070,0.318
AK,2070,0.316
AK,2090,0.291
AK,2090,0.285
AK,2100,0.296
AK,2100,0.284
AK,2110,0.26
AK,2110,0.269
AK,2122,0.275
AK,2122,0.275
AK,2130,0.292
AK,2130,0.28
AK,2150,0.301
AK,2150,0.315
AK,2164,0.315
AK,2164,0.326
AK,2170,0.298
AK,2170,0.298
AK,2180,0.356
AK,2180,0.341
AK,2185,0.356
AK,2185,0.342
AK,2188,0.297
AK,2188,0.297
AK,2198,0.337
AK,2198,0.355
AK,2220,0.282
AK,2220,0.288
AK,2230,0.302
AK,2230,0.309
AK,2240,0.317
AK,2240,0.325
AK,2261,0.283
AK,2261,0.297
AK,2270,0.276
AK,2270,0.346
AK,2275,0.309
AK,2275,0.301
AK,2290,0.29
AK,2290,0.263
AL,1001,0.305
AL,1001,0.313
AL,1003,0.266
AL,1003,0.25
AL,1005,0.373
AL,1005,0.384
AL,1007,0.343
AL,1007,0.373
AL,1009,0.304
AL,1009,0.309
AL,1011,0.421
AL,1011,0.432
AL,1013,0.383
AL,1013,0.384
AL,1015,0.332
AL,1015,0.315
AL,1017,0.354
AL,1017,0.397
AL,1019,0.314
AL,1019,0.303
AL,1021,0.383
AL,1021,0.37
AL,1023,0.389
AL,1023,0.402
AL,1025,0.36
AL,1025,0.352
AL,1027,0.353
AL,1027,0.374
AL,1029,0.313
AL,1029,0.304
AL,1031,0.299
AL,1031,0.285
AL,1033,0.322
AL,1033,0.339
AL,1035,0.363
AL,1035,0.391
AL,1037,0.343
AL,1037,0.372
AL,1039,0.338
AL,1039,0.323
AL,1041,0.357
AL,1041,0.371
AL,1043,0.324
AL,1043,0.344
AL,1045,0.353
AL,1045,0.344
AL,1047,0.414
AL,1047,0.417
AL,1049,0.324
AL,1049,0.321
AL,1051,0.306
AL,1051,0.301
AL,1053,0.369
AL,1053,0.383
AL,1055,0.318
AL,1055,0.338
AL,1057,0.364
AL,1057,0.363
AL,1059,0.343
AL,1059,0.335
AL,1061,0.34
AL,1061,0.345
AL,1063,0.479
AL,1063,0.481
AL,1065,0.416
AL,1065,0.362
AL,1067,0.346
AL,1067,0.341
AL,1069,0.349
AL,1069,0.329
AL,1071,0.3
AL,1071,0.29
AL,1073,0.322
AL,1073,0.329
AL,1075,0.313
AL,1075,0.328
AL,1077,0.322
AL,1077,0.312
AL,1079,0.377
AL,1079,0.386
AL,1081,0.32
AL,1081,0.3
AL,1083,0.338
AL,1083,0.334
AL,1085,0.438
AL,1085,0.437
AL,1087,0.392
AL,1087,0.417
AL,1089,0.3
AL,1089,0.306
AL,1091,0.416
AL,1091,0.423
AL,1093,0.33
AL,1093,0.341
AL,1095,0.315
AL,1095,0.339
AL,1097,0.339
AL,1097,0.359
AL,1099,0.359
AL,1099,0.363
AL,1101,0.353
AL,1101,0.346
AL,1103,0.285
AL,1103,0.302
AL,1105,0.389
AL,1105,0.387
AL,1107,0.385
AL,1107,0.401
AL,1109,0.36
AL,1109,0.353
AL,1111,0.342
AL,1111,0.341
AL,1113,0.365
AL,1113,0.342
AL,1117,0.296
AL,1117,0.315
AL,1115,0.329
AL,1115,0.317
AL,1119,0.401
AL,1119,0.404
AL,1121,0.384
AL,1121,0.38
AL,1123,0.351
AL,1123,0.356
AL,1125,0.332
AL,1125,0.329
AL,1127,0.36
AL,1127,0.334
AL,1129,0.359
AL,1129,0.361
AL,1131,0.416
AL,1131,0.428
AL,1133,0.357
AL,1133,0.334
AR,5001,0.354
AR,5001,0.351
AR,5003,0.38
AR,5003,0.361
AR,5005,0.285
AR,5005,0.293
AR,5007,0.276
AR,5007,0.272
AR,5009,0.273
AR,5009,0.263
AR,5011,0.34
AR,5011,0.347
AR,5013,0.342
AR,5013,0.352
AR,5015,0.287
AR,5015,0.335
AR,5017,0.368
AR,5017,0.385
AR,5019,0.326
AR,5019,0.325
AR,5021,0.32
AR,5021,0.317
AR,5023,0.288
AR,5023,0.28
