Region,Adult obesity
West,0.3
West,0.3
West,0.3
West,0.3
West,0.329
West,0.329
West,0.257
West,0.257
West,0.257
West,0.257
West,0.257
West,0.257
West,0.257
West,0.268
West,0.268
West,0.268
West,0.268
West,0.268
West,0.268
West,0.268
West,0.268
West,0.268
West,0.268
West,0.315
West,0.315
West,0.315
West,0.315
West,0.315
West,0.324
West,0.324
West,0.324
West,0.324
West,0.318
West,0.318
West,0.318
West,0.318
West,0.318
West,0.316
West,0.316
West,0.316
West,0.316
West,0.291
West,0.291
West,0.291
West,0.291
West,0.291
West,0.291
West,0.291
West,0.291
West,0.291
West,0.291
West,0.285
West,0.285
West,0.285
West,0.285
West,0.285
West,0.285
West,0.285
West,0.285
West,0.285
West,0.285
West,0.296
West,0.296
West,0.284
West,0.284
West,0.284
West,0.284
West,0.284
West,0.284
West,0.284
West,0.26
West,0.26
West,0.26
West,0.26
West,0.26
West,0.26
West,0.26
West,0.26
West,0.269
West,0.269
West,0.269
West,0.269
West,0.269
West,0.269
West,0.269
West,0.275
West,0.275
West,0.275
West,0.275
West,0.275
West,0.275
West,0.275
West,0.275
West,0.275
West,0.275
West,0.292
West,0.292
West,0.292
West,0.292
West,0.292
West,0.292
West,0.292
West,0.292
West,0.292
West,0.28
West,0.28
West,0.28
West,0.28
West,0.28
West,0.28
West,0.28
West,0.28
West,0.28
West,0.301
West,0.301
West,0.301
West,0.301
West,0.301
West,0.301
West,0.301
West,0.326
West,0.298
West,0.298
West,0.298
West,0.298
West,0.298
West,0.298
West,0.356
West,0.356
West,0.341
West,0.342
West,0.342
West,0.297
West,0.297
West,0.297
West,0.297
West,0.297
West,0.297
West,0.297
West,0.297
West,0.297
West,0.297
West,0.297
West,0.297
West,0.337
West,0.337
West,0.337
West,0.337
West,0.337
West,0.355
West,0.282
West,0.282
West,0.282
West,0.282
West,0.282
West,0.282
West,0.288
West,0.288
West,0.288
West,0.288
West,0.288
West,0.288
West,0.288
West,0.302
West,0.302
West,0.302
West,0.302
West,0.309
West,0.309
West,0.309
West,0.309
West,0.309
West,0.317
West,0.317
West,0.317
West,0.317
West,0.317
West,0.317
West,0.325
West,0.283
West,0.283
West,0.283
West,0.283
West,0.283
West,0.276
West,0.276
West,0.276
West,0.276
West,0.276
West,0.276
West,0.346
West,0.346
West,0.346
West,0.29
West,0.29
West,0.29
West,0.29
West,0.263
West,0.263
West,0.263
West,0.263
West,0.319
West,0.319
West,0.319
West,0.319
West,0.247
West,0.247
West,0.247
West,0.247
West,0.247
West,0.247
West,0.247
West,0.236
West,0.236
West,0.236
West,0.233
West,0.233
West,0.233
West,0.233
West,0.233
West,0.233
West,0.233
West,0.233
West,0.233
West,0.233
West,0.24
West,0.24
West,0.24
West,0.24
West,0.24
West,0.24
West,0.24
West,0.24
West,0.271
West,0.271
West,0.271
West,0.271
West,0.271
West,0.271
West,0.271
West,0.271
West,0.271
West,0.271
West,0.271
West,0.271
West,0.271
West,0.339
West,0.339
West,0.35
West,0.35
West,0.354
West,0.354
West,0.312
West,0.312
West,0.312
West,0.312
West,0.32
West,0.32
West,0.228
West,0.228
West,0.228
West,0.228
West,0.228
West,0.226
West,0.226
West,0.226
West,0.226
West,0.226
West,0.226
West,0.266
West,0.266
West,0.266
West,0.266
West,0.266
West,0.266
West,0.266
West,0.266
West,0.266
West,0.266
West,0.266
West,0.266
West,0.266
West,0.266
West,0.241
West,0.241
West,0.241
West,0.241
West,0.241
West,0.241
West,0.241
West,0.241
West,0.241
West,0.241
West,0.241
West,0.221
West,0.221
West,0.221
West,0.221
West,0.221
West,0.221
West,0.221
West,0.314
West,0.314
West,0.314
